Employee ID,Gender,Age,ServiceYear,Education,MarrigeStatus,Nationality,Department,EmploymentStatus
2021030313,F,27.61,2.08,Bachelor,Unmarried,China,20069031,0
2021050155,F,27.67,1.90,Bachelor,Unmarried,China,20069031,1
2021050166,F,30.24,1.91,Bachelor,Unmarried,China,20069031,0
2021050179,F,31.66,1.91,Master,Married,China,20060040,1
2021060049,F,40.44,1.89,Bachelor,Married,China,20069011,0
2021060199,F,30.72,1.82,Master,Unmarried,China,20069031,1
2021060202,F,26.63,1.84,Bachelor,Unmarried,China,20060040,1
2021070062,M,31.41,1.78,Master,Unmarried,China,20069031,0
2021080274,F,37.27,1.66,Master,Married,China,20069011,0
2021080336,F,25.26,1.64,Bachelor,Unmarried,China,20069031,0
2021080337,F,36.61,1.67,Master,Unmarried,China,20060010,1
2021090024,F,32.81,1.60,Bachelor,Unmarried,China,20069031,0
2021090030,F,28.44,1.63,Bachelor,Unmarried,China,20060040,1
2021090088,F,28.75,1.58,Master,Unmarried,China,20069031,0
2021110064,F,29.68,1.44,Master,Unmarried,China,20069031,0
2021110078,F,28.29,1.49,Bachelor,Unmarried,China,20069031,0
2021110084,F,28.55,1.45,Bachelor,Unmarried,China,20069041,0
2021120122,M,29.57,1.37,Master,Married,China,20069031,0
2021120126,M,37.07,1.38,Master,Married,China,20069011,0
2021120127,F,31.11,1.38,Bachelor,Married,China,20069031,0
2021120136,F,27.07,1.37,Bachelor,Unmarried,China,20069031,0
3014044564,F,33.98,9.05,Master,Married,China,20060010,1
3014074843,F,44.86,12.96,Master,Married,China,20069011,0
3016075028,F,36.58,6.79,Bachelor,Married,China,20069031,0
68000002,M,56.27,12.44,Master,Married,China,80022700,1
68000008,M,43.30,11.83,Master,Married,China,80022300,1
68000019,F,51.73,11.13,Bachelor,Married,China,80022400,1
68000020,F,47.52,11.10,Master,Married,China,80022700,1
68000041,F,48.55,9.93,Master,Married,China,80022600,1
68000049,F,50.67,9.75,Bachelor,Unmarried,China,80022600,1
68000065,M,36.42,8.76,Master,Unmarried,China,80022800,1
68000092,F,38.19,7.16,Master,Married,China,80022310,1
T2017129043,F,29.33,5.82,Bachelor,Unmarried,China,00402000,1
T2018071234,F,31.04,4.90,Master,Unmarried,China,20060040,1
T2018080013,F,30.87,4.71,Bachelor,Unmarried,China,20060040,1
T2018091045,F,28.95,4.62,Bachelor,Unmarried,China,20060040,1
T2019040063,F,26.15,4.04,Bachelor,Unmarried,China,20060040,1
T2019080160,F,30.66,1.32,Bachelor,Unmarried,China,20060040,1
T2019110047,F,24.84,3.46,Bachelor,Unmarried,China,20060040,1
T2019110048,F,30.01,3.44,Bachelor,Unmarried,China,20060040,1
T2020030008,F,28.17,3.83,Bachelor,Unmarried,China,20060040,1
T2020090094,M,30.43,2.61,Bachelor,Unmarried,China,20060010,1
T2021030148,F,27.18,2.14,Bachelor,Unmarried,China,20060040,1
T2021060232,F,27.03,1.84,Bachelor,Unmarried,China,20060040,1
T2021110097,F,25.64,1.45,Bachelor,Unmarried,China,20069011,1
T2022050014,F,24.25,1.02,Bachelor,Unmarried,China,20069041,0
T2022060005,F,24.35,0.88,Bachelor,Unmarried,China,20069041,0
T2023020002,F,24.57,0.83,Bachelor,Unmarried,Australia,20069011,0
T2023030001,M,24.11,0.18,Bachelor,Unmarried,China,20069011,0
T2023040002,F,23.65,0.08,Bachelor,Unmarried,China,20069041,0
00390725,F,26.74,1.25,Bachelor,Unmarried,China,20069371,1
10428951,F,26.39,0.68,Bachelor,Unmarried,China,20069371,1
10457880,F,34.91,0.09,Bachelor,Unmarried,China,20069371,1
10416384,F,27.25,1.58,Bachelor,Married,China,20069371,1
00286730,F,41.70,6.06,Bachelor,Unmarried,China,20069371,1
00307209,M,37.93,5.28,Bachelor,Unmarried,China,20069371,1
00379027,F,31.74,0.74,Bachelor,Unmarried,China,20069371,1
00037102,F,40.40,12.09,Bachelor,Unmarried,China,20069371,1
00323915,F,42.71,4.99,Bachelor,Unmarried,China,20069371,1
10427498,F,26.85,0.32,Bachelor,Unmarried,China,20069371,1
10439489,F,25.51,0.69,Bachelor,Unmarried,China,20069371,1
00287194,F,33.43,6.37,Bachelor,Unmarried,China,20069371,1
00347444,F,29.59,3.79,Bachelor,Married,China,20069371,1
10411083,F,27.77,1.86,Bachelor,Married,China,20069371,1
00381219,F,30.77,3.00,Bachelor,Married,China,20069371,1
00129533,F,33.46,8.07,Bachelor,Unmarried,China,20069371,1
10411895,F,28.92,2.00,Bachelor,Married,China,20069371,1
10407319,F,28.55,2.31,Master,Married,China,20069371,1
10430538,F,27.72,1.58,Bachelor,Married,China,20069371,1
00376258,F,28.32,3.79,Bachelor,Married,China,20069371,1
00380676,F,32.07,2.84,Bachelor,Married,China,20069371,1
10451277,M,36.11,0.11,Master,Married,China,20069371,1
10458527,F,29.44,0.16,Bachelor,Unmarried,China,20069371,1
00050806,F,53.29,11.08,Bachelor,Unmarried,Japan,20069371,0
00153167,M,33.01,3.41,Bachelor,Unmarried,Japan,20069371,0
00379521,F,46.79,3.92,Master,Unmarried,Japan,20069371,0
00295455,F,32.62,6.65,Bachelor,Unmarried,China,20069371,0
10432760,F,37.83,1.82,Bachelor,Unmarried,Malaysia,20069371,0
00334363,M,34.89,5.31,Bachelor,Unmarried,Malaysia,20069371,0
00353231,F,23.38,4.01,Bachelor,Unmarried,Malaysia,20069371,0
00375763,F,36.03,4.08,Bachelor,Unmarried,Malaysia,20069371,0
00393247,M,38.35,3.54,Bachelor,Unmarried,Malaysia,20069371,0
00057027,F,36.30,11.79,Bachelor,Unmarried,China,20069371,0
00139014,F,37.74,8.78,Bachelor,Unmarried,China,20069371,0
00295725,F,29.68,3.53,Bachelor,Unmarried,China,20069371,0
00349492,F,29.72,4.73,Bachelor,Unmarried,China,20069371,0
10433752,M,31.46,1.78,Bachelor,Unmarried,China,20069371,0
10407054,F,28.00,1.33,Bachelor,Married,China,20069371,0
00379720,F,30.49,1.33,Bachelor,Unmarried,China,20069371,0
00076131,F,44.91,18.67,Bachelor,Unmarried,China,20069371,0
00343701,F,39.42,4.93,Master,Unmarried,China,20069371,0
00071290,F,40.91,16.87,Bachelor,Unmarried,China,20069371,0
00071724,F,45.43,18.75,Master,Unmarried,China,20069371,0
00075940,F,42.42,23.16,Bachelor,Unmarried,China,20069371,0
00080002,F,36.29,10.77,Master,Unmarried,China,20069371,0
00285619,F,40.40,7.02,Bachelor,Unmarried,China,20069371,0
00286138,F,43.14,7.02,Bachelor,Married,China,20069371,0
00289799,F,38.75,6.86,Bachelor,Unmarried,China,20069371,0
00292446,F,36.63,6.79,Master,Unmarried,China,20069371,0
00320520,F,31.86,5.77,Bachelor,Married,China,20069371,0
00341738,F,34.51,5.01,Bachelor,Unmarried,China,20069371,0
00345457,F,29.96,4.89,Master,Unmarried,China,20069371,0
00377861,F,31.66,3.50,Bachelor,Married,China,20069371,0
00379437,F,45.37,3.92,Bachelor,Unmarried,China,20069371,0
00379712,F,26.82,3.95,Bachelor,Unmarried,China,20069371,0
10405312,M,40.39,3.14,Bachelor,Married,China,20069371,0
10419121,F,31.27,2.44,Bachelor,Unmarried,China,20069371,0
10421031,F,27.02,2.41,Master,Unmarried,China,20069371,0
10421887,F,33.56,2.29,Master,Unmarried,China,20069371,0
10429617,F,40.49,1.89,Bachelor,Unmarried,China,20069371,0
10430883,F,30.29,1.91,Master,Married,China,20069371,0
10437956,F,32.86,1.60,Bachelor,Married,China,20069371,0
10439950,F,28.80,1.58,Master,Married,China,20069371,0
10441349,F,29.73,1.44,Bachelor,Unmarried,China,20069371,0
10442774,F,28.60,1.45,Bachelor,Unmarried,China,20069371,0
10443720,F,27.12,1.37,Bachelor,Married,China,20069371,0
10444173,M,29.62,1.37,Master,Unmarried,China,20069371,0
10444261,F,31.16,1.38,Bachelor,Married,China,20069371,0
10444420,M,37.12,1.38,Bachelor,Unmarried,China,20069371,0
00378516,F,31.19,3.99,Master,Unmarried,China,20069371,1
00354298,F,47.14,4.54,Bachelor,Unmarried,Japan,20069371,0
10424163,F,33.52,0.32,Bachelor,Unmarried,China,20069371,0
10426322,F,37.30,0.98,Bachelor,Unmarried,China,20069371,0
10426415,F,33.03,0.87,Bachelor,Married,China,20069371,0
10429124,F,28.34,1.49,Bachelor,Married,China,20069371,0
